startup_id,startup_name,industry,country,monthly_active_users,monthly_revenue_usd,employee_count,ai_model_accuracy,funding_million_usd,startup_status
1,Bates Ltd,AI,Madagascar,34726,174220.36,7,88.27,56.27,Scaling
2,Morales PLC,HealthTech,New Zealand,5606,80771.04,118,82.22,57.11,Stable
3,Morrow Inc,HealthTech,Ethiopia,19121,172781.34,74,76.37,18.14,Growing
4,"French, Wright and West",AI,Costa Rica,30333,353649.18,298,80.61,32.64,Scaling
5,Cox-Hutchinson,FinTech,Bermuda,23998,142674.81,155,73.38,64.13,Stable
6,"Holden, Wilson and Caldwell",E-commerce,Guinea,20934,84691.13,203,85.1,3.22,Early Stage
7,"Wright, Hart and Parker",AI,Taiwan,25583,367018.67,20,74.27,86.71,Growing
8,Richardson-Ross,FinTech,Vietnam,24578,121592.07,76,96.61,110.86,Early Stage
9,"Smith, Webb and Young",E-commerce,Liberia,32401,398533.97,152,99.82,49.01,Stable
10,Pollard-Novak,HealthTech,Greece,11002,147675.25,288,84.05,118.58,Scaling
11,Baird PLC,FinTech,United States of America,37307,145452.82,298,98.37,57.24,Scaling
12,"Rice, Le and Chaney",EdTech,Lebanon,1140,9090.35,129,79.82,62.7,Scaling
13,Bradley-Le,FinTech,Kuwait,7766,43105.96,168,73.8,111.52,Early Stage
14,Davis PLC,AI,Ukraine,23153,230780.23,102,80.57,18.07,Growing
15,Fitzpatrick-Flores,EdTech,Spain,22031,318605.89,116,96.18,94.13,Stable
16,Parrish-Davis,FinTech,Philippines,44471,275316.84,282,89.57,113.67,Stable
17,"Duke, Miles and Davis",FinTech,Heard Island and McDonald Islands,28318,193140.94,150,83.03,104.91,Scaling
18,Perez-Woodard,HealthTech,Sri Lanka,25247,207775.94,266,82.75,68.06,Stable
19,Wright-Velazquez,AI,Syrian Arab Republic,42832,175089.14,108,73.57,30.34,Scaling
20,"Rodriguez, Smith and Mcknight",EdTech,Mauritius,47509,359664.26,167,82.7,55.06,Stable
21,Hurley-King,E-commerce,Falkland Islands (Malvinas),37115,208497.67,68,80.76,22.68,Stable
22,Swanson and Sons,HealthTech,Belgium,38599,161477.34,77,75.38,2.41,Growing
23,"Ware, Cole and Hernandez",EdTech,Chile,1754,7432.66,220,91.0,51.56,Stable
24,Pacheco Inc,E-commerce,Nepal,24272,202675.32,16,91.68,35.47,Stable
25,Lawson-Stephens,EdTech,Kenya,42032,630469.5,225,97.75,13.24,Scaling
26,"Guerrero, Taylor and Beasley",FinTech,Tanzania,40353,234129.29,217,91.49,25.98,Stable
27,Dalton PLC,FinTech,Saint Vincent and the Grenadines,11708,137087.7,155,87.36,93.02,Scaling
28,White-Miller,FinTech,Azerbaijan,22386,191141.84,55,91.99,18.69,Growing
29,"Marshall, Lamb and Martinez",HealthTech,Swaziland,24850,229530.43,68,71.0,63.79,Growing
30,Sparks-Wright,EdTech,Russian Federation,39638,487752.47,26,76.73,118.8,Scaling
31,Freeman-Sharp,FinTech,Botswana,25516,257256.87,162,96.19,44.3,Stable
32,Collins PLC,EdTech,Panama,11144,116441.44,17,92.16,29.36,Stable
33,Boyle-Matthews,E-commerce,Ireland,42640,467279.37,169,76.48,61.06,Scaling
34,Ross-Coleman,FinTech,India,8005,60965.8,49,76.6,99.55,Stable
35,"Ritter, Barr and Smith",AI,Vanuatu,25768,245509.33,99,94.02,5.85,Growing
36,Burton Group,E-commerce,Venezuela,21805,200058.1,269,75.98,30.4,Growing
37,Swanson-Jordan,FinTech,French Southern Territories,35808,515447.57,199,81.21,15.85,Stable
38,Neal LLC,FinTech,Turkmenistan,48947,509542.22,280,79.95,98.91,Stable
39,Macias Inc,E-commerce,Armenia,40171,582120.13,194,88.71,5.24,Early Stage
40,Dunn and Sons,HealthTech,Greenland,5897,32486.76,35,70.81,10.82,Growing
41,"Butler, Sanders and Romero",FinTech,Mongolia,1499,21476.89,58,87.29,37.36,Early Stage
42,Gordon LLC,FinTech,Poland,17017,223147.84,32,89.81,95.75,Early Stage
43,Steele-Murphy,HealthTech,Bahamas,7349,105193.98,161,75.71,85.03,Stable
44,Terry-Smith,FinTech,Brunei Darussalam,3919,33313.79,170,97.28,69.01,Growing
45,Palmer-Sanders,E-commerce,Monaco,29770,416599.59,275,73.46,105.94,Scaling
46,Boyd-Durham,E-commerce,Saint Martin,39322,561755.12,191,95.31,115.94,Stable
47,Gibson-Clayton,AI,French Polynesia,25281,333783.53,234,73.86,107.2,Stable
48,Gardner and Sons,E-commerce,Samoa,35147,249267.75,272,93.7,66.26,Scaling
49,Rodriguez Group,EdTech,Luxembourg,32992,287850.38,52,72.57,72.36,Growing
