Household_ID,Head_Name,City,Region,Household_Size,Monthly_Income_USD,Income_Level,Primary_Source
1,Household_1,Las Anod,Sool,4,250,Middle,Farming
2,Household_2,Tog Wajaale,Maroodi Jeh,9,176,Low,Fishing
3,Household_3,Zeila,Awdal,4,306,Middle,Small Business
4,Household_4,Gabiley,Maroodi Jeh,4,130,Low,Livestock
5,Household_5,Borama,Awdal,8,485,Middle,Farming
6,Household_6,Las Anod,Sool,8,134,Low,Remittance
7,Household_7,Tog Wajaale,Maroodi Jeh,7,464,Middle,Small Business
8,Household_8,Badhan,Sanaag,5,650,High,Livestock
9,Household_9,Borama,Awdal,3,129,Low,Small Business
10,Household_10,Gabiley,Maroodi Jeh,6,200,Low,Farming
11,Household_11,Borama,Awdal,4,365,Middle,Farming
12,Household_12,Hargeisa,Maroodi Jeh,4,883,High,Farming
13,Household_13,El Afweyn,Sanaag,4,123,Low,Remittance
14,Household_14,Sheikh,Sahil,7,404,Middle,Small Business
15,Household_15,Lughaya,Awdal,5,105,Low,Remittance
16,Household_16,El Afweyn,Sanaag,7,435,Middle,Salary
17,Household_17,Tog Wajaale,Maroodi Jeh,4,205,Low,Salary
18,Household_18,Zeila,Awdal,3,151,Low,Daily Labor
19,Household_19,Oodweyne,Togdheer,5,485,Middle,Farming
20,Household_20,Sheikh,Sahil,4,138,Low,Fishing
21,Household_21,Lughaya,Awdal,8,200,Low,Fishing
22,Household_22,Zeila,Awdal,3,195,Low,Livestock
23,Household_23,Zeila,Awdal,5,112,Low,Trading
24,Household_24,Berbera,Sahil,5,289,Middle,Trading
25,Household_25,Las Anod,Sool,3,151,Low,Daily Labor
26,Household_26,Zeila,Awdal,7,110,Low,Livestock
27,Household_27,Sheikh,Sahil,3,323,Middle,Salary
28,Household_28,Las Anod,Sool,4,748,High,Livestock
29,Household_29,Sheikh,Sahil,8,139,Low,Small Business
30,Household_30,El Afweyn,Sanaag,8,105,Low,Daily Labor
31,Household_31,Oodweyne,Togdheer,4,453,Middle,Trading
32,Household_32,Burao,Togdheer,5,161,Low,Small Business
33,Household_33,Hargeisa,Maroodi Jeh,6,253,Middle,Livestock
34,Household_34,Gabiley,Maroodi Jeh,7,218,Low,Small Business
35,Household_35,Lughaya,Awdal,4,127,Low,Daily Labor
36,Household_36,Badhan,Sanaag,5,215,Low,Daily Labor
37,Household_37,Badhan,Sanaag,3,186,Low,Livestock
38,Household_38,Tog Wajaale,Maroodi Jeh,8,111,Low,Livestock
39,Household_39,Hargeisa,Maroodi Jeh,4,630,High,Fishing
40,Household_40,Berbera,Sahil,6,267,Middle,Trading
41,Household_41,Burao,Togdheer,6,119,Low,Fishing
